,original,translated
0,ALIMENTATION,POWER SUPPLY
1,ALLUME,ON
2,APPAREIL,DEVICE
3,APRÈS,AFTER
4,BATTERIE,BATTERY
5,BLOQUÉ,BLOCKED
6,BOUTON,BUTTON
7,BRUIT,NOISE
8,CABLE,CABLE
9,CARTE,CARD
10,CASSÉ,BROKEN
11,CASSÉE,BROKEN
12,CHANGER,CHANGING
13,CHAUFFE,HEAT
14,CIRCUIT,CIRCUIT
15,COMMANDER,TO ORDER
16,CONDENSATEUR,CAPACITOR
17,CONTACT,CONTACT
18,COULE,CAST
19,COURROIE,BELT
20,CÂBLE,CABLE
21,DIAGNOSTIC,DIAGNOSIS
22,DÉFAUT,DEFECT
23,DÉFECTUEUSE,Defective
24,DÉFECTUEUX,FULTY
25,DÉMARRE,- Launch
26,DÉMONTAGE,DISMANTLING
27,FICHE,E-TRAINING
28,FONCTIONNE,OPERATE
29,FUSIBLE,FUSE
30,IMPOSSIBLE,IMPOSSIBLE
31,INTERRUPTEUR,SWITCH
32,LECTEUR,READER
33,MACHINE,MACHINE
34,MAUVAIS,BAD
35,MOTEUR,POWER UNIT
36,NETTOYAGE,CLEANING
37,NIVEAU,LEVEL
38,PANNE,PANNE
39,PIÈCE,ROOM
40,PIÈCES,PARTS
41,POMPE,PUMP
42,PRISE,SOCKET
43,PROBLÈME,CONCERN
44,REMPLACEMENT,REPLACEMENT
45,REMPLACER,REPLACE
46,REMPLACÉ,SUPERSEDED
47,RÉPARATION,REPAIR
48,RÉPARÉ,REPAIRED
49,RÉSISTANCE,RESISTANCE
50,SOLUTION,SOLUTION
51,SOUDURE,WELDING
52,SÉCURITÉ,SECURITY
53,TOURNE,TURN
54,VAPEUR,STEAM
55,ÉCRAN,SCREEN
56,ÉLECTRIQUE,ELECTRIC
57,ÉLECTRONIQUE,ELECTRONICS
58,ÉTAIT,WAS
