,original,translated,check1,CLASS1
6,AFGEBROKEN,ABORTED,0,
0,ABGEBROCHEN,ABORTED,0,
0,ABOUT,ABOUT,0,
50,ERUIT,ABOUT,0,
1,ACCESS,ACCESS,1,E
4,ADAPTER,ADAPTERS,1,E
2,ADVICE,ADVICE,0,
5,ADVIES,ADVICE,0,
3,ADVISED,ADVISED,0,
4,AERIAL,AERIAL,0,
5,AFTER,AFTER,0,
3,APRÈS,AFTER,0,
29,DANACH,AFTER,0,
6,AGAIN,AGAIN,0,
7,ALARM,ALARM,1,E
37,DICHT,ALIGHT,0,
7,ALLEEN,ALONE,0,
85,IMMER,ALWAYS,0,
8,ANOTHER,ANOTHER,0,
9,ANTENNE,ANTENNA,1,E
9,APART,APART,1,M
10,APPEARS,APPEARS,0,
11,AROUND,AROUND,0,
95,KOMMT,ARRIVED,0,
12,ASSEMBLY,ASSEMBLY,1,M
13,AUDIO,AUDIO,1,E
14,AVAILABLE,AVAILABLE,0,
169,TERUG,BACK,0,
15,BATTERIES,BATTERIES,1,E
13,BATTERIJEN,BATTERIES,1,E
2,AKKUS,BATTERIES,1,E
11,BATTERIEN,BATTERIES,1,E
16,BATTERY,BATTERY,1,E
12,BATTERIJ,BATTERY,1,E
4,BATTERIE,BATTERY,1,E
10,BATTERIE,BATTERY,1,E
17,BECAUSE,BECAUSE,0,
18,BEFORE,BEFORE,0,
19,BEING,BEING,0,
19,COURROIE,BELT,1,M
141,RIEMEN,BELT,1,M
20,BLACK,BLACK,0,
21,BLADE,BLADE,1,M
22,BLADES,BLADES,1,M
23,BLENDER,BLENDER,1,M
78,KNIPPEREN,BLINKING,1,E
24,BLOCKED,BLOCKED,1,M
5,BLOQUÉ,BLOCKED,1,M
25,BLOWN,BLOWN,1,M
40,DOORGEBRAND,BLOWN,1,M
91,KAPUTT,BLOWN,1,M
26,BOARD,BOARD,1,E
27,BOBBIN,BOBBIN,1,E
21,BOILER,BOILER,0,
28,BOOTING,BOOTING,1,E
29,BOTTOM,BOTTOM,0,
30,BOUGHT,BOUGHT,0,
31,BRING,BRING,0,
32,BROKE,BROKE,1,M
33,BROKEN,BROKEN,1,M
74,KAPOT,BROKEN,1,M
75,KAPOTTE,BROKEN,1,M
66,GEBROCHEN,BROKEN,1,M
34,DEFECT,BROKEN,1,M
10,CASSÉ,BROKEN,1,M
11,CASSÉE,BROKEN,1,M
34,BROUGHT,BROUGHT,0,
35,BRUSH,BRUSH,1,E
36,BURNING,BURNING,1,O
37,BURNT,BURNT,1,O
38,BUTTON,BUTTON,1,E
6,BOUTON,BUTTON,1,E
39,BUTTONS,BUTTONS,1,E
40,CABLE,CABLE,1,E
72,KABEL,CABLE,1,E
8,CABLE,CABLE,1,E
20,CÂBLE,CABLE,1,E
89,KABEL,CABLE,1,E
41,CAMERA,CAMERA,0,
42,CANNOT,CANNOT,0,
43,CAPACITOR,CAPACITOR,1,E
29,CONDENSATOR,CAPACITOR,1,E
16,CONDENSATEUR,CAPACITOR,1,E
96,KONDENSATOR,CAPACITOR,1,E
9,CARTE,CARD,1,E
44,CASING,CASING,1,M
45,CASSETTE,CASSETTE,1,M
92,KASSETTE,CASSETTE,1,M
18,COULE,CAST,1,O
121,OORZAAK,CAUSE,0,
159,URSACHE,CAUSE,0,
47,CHANGE,CHANGE,1,G
48,CHANGED,CHANGED,1,G
12,CHANGER,CHANGING,1,G
49,CHANNEL,CHANNEL,1,O
50,CHARGE,CHARGE,1,E
51,CHARGER,CHARGER,1,E
122,OPLADER,CHARGER,1,E
52,CHARGING,CHARGING,1,E
53,CHECK,CHECK,1,G
54,CHECKED,CHECKED,1,G
55,CIRCUIT,CIRCUIT,1,E
14,CIRCUIT,CIRCUIT,1,E
56,CLEAN,CLEAN,1,O
57,CLEANED,CLEANED,1,O
134,REINIGTEN,CLEANED,1,O
58,CLEANER,CLEANER,1,O
59,CLEANING,CLEANING,1,O
36,NETTOYAGE,CLEANING,1,O
135,REINIGUNG,CLEANING,1,O
140,SCHOONMAKEN,CLEANING,1,O
60,CLIENT,CLIENT,0,
61,CLINIC,CLINIC,0,
62,CLOCK,CLOCK,0,
149,SLUITING,CLOSING,1,M
63,COFFEE,COFFEE,0,
81,KOFFIE,COFFEE,0,
157,SPOEL,COIL,1,E
64,COMING,COMING,0,
65,COMPONENT,COMPONENT,1,E
117,ONDERDEEL,COMPONENT,1,E
118,ONDERDELEN,COMPONENTS,1,E
66,COMPUTER,COMPUTER,1,E
43,PROBLÈME,CONCERN,0,
16,BESORGT,CONCERNED,0,
67,CONNECTED,CONNECTED,1,E
68,CONNECTION,CONNECTION,1,E
2,AANSLUITING,CONNECTION,1,E
69,CONNECTIONS,CONNECTIONS,1,E
70,CONNECTOR,CONNECTOR,1,E
153,STECKER,CONNECTOR,1,E
71,CONTACT,CONTACT,1,E
17,CONTACT,CONTACT,1,E
99,KONTAKT,CONTACT,1,E
72,CONTACTS,CONTACTS,1,E
32,CONTACTEN,CONTACTS,1,E
100,KONTAKTE,CONTACTS,1,E
184,VERDER,CONTINUE,0,
164,WEITER,CONTINUE,0,
62,FORTSETZUNG,CONTINUED,0,
73,CONTROL,CONTROL,1,E
74,CONTROLLER,CONTROLLER,1,E
75,CORRECT,CORRECT,0,
76,CORRECTLY,CORRECTLY,0,
77,CORRODED,CORRODED,1,O
78,COULD,COULD,0,
79,COULDN,COULDN,0,
80,COVER,COVER,1,M
36,DEKSEL,COVER,1,M
86,KRAAKT,CRACK,1,M
81,CRACKED,CRACKED,1,M
106,MAKEN,CREATING,0,
77,HABEN,CREDIT,0,
82,CUSTOMER,CUSTOMER,0,
76,KLANT,CUSTOMER,0,
83,CUTTING,CUTTING,1,M
84,DAMAGE,DAMAGE,1,M
85,DAMAGED,DAMAGED,1,M
16,BESCHADIGD,DAMAGED,1,M
173,ZERLEGT,DECOMPOSED,1,M
174,ZERLEGTEN,DECOMPOSED,1,M
86,DEFECT,DEFECT,1,M
22,DÉFAUT,DEFECT,1,M
87,DEFECTIVE,DEFECTIVE,1,M
30,DEFEKT,DEFECTIVE,1,M
32,DEFEKTEN,DEFECTIVE,1,M
31,DEFEKTE,DEFECTS,1,M
120,ONTKALKEN,DESCALING,0,
88,DETACHED,DETACHED,1,M
89,DEVICE,DEVICE,0,
10,APPARAAT,DEVICE,0,
176,TOESTEL,DEVICE,0,
2,APPAREIL,DEVICE,0,
71,GERÄT,DEVICE,0,
72,GERÄTES,DEVICE,0,
90,DIAGNOSED,DIAGNOSED,1,G
21,DIAGNOSTIC,DIAGNOSIS,1,G
91,DIFFICULT,DIFFICULT,0,
92,DIGITAL,DIGITAL,1,E
93,DIRTY,DIRTY,1,O
26,DÉMONTAGE,DISMANTLING,1,M
94,DISPLAY,DISPLAY,1,E
39,DISPLAY,DISPLAY,1,E
36,DISPLAY,DISPLAY,1,E
138,SCHERM,DISPLAY,1,G
95,DOESN,DOESN,0,
96,DOESNT,DOESNT,0,
97,DRILL,DRILL,1,M
98,DRIVE,DRIVE,0,
99,DROPPED,DROPPED,1,M
100,DRYER,DRYER,1,O
175,TIJDENS,DURING,0,
41,EINEM,EINEM,0,
101,ELECTRIC,ELECTRIC,1,E
56,ÉLECTRIQUE,ELECTRIC,1,E
102,ELECTRICAL,ELECTRICAL,1,E
155,STROM,ELECTRICITY,1,E
103,ELECTRONIC,ELECTRONIC,1,E
47,ELEKTRONICA,ELECTRONICS,1,E
57,ÉLECTRONIQUE,ELECTRONICS,1,E
50,ELEKTRONIK,ELECTRONICS,1,E
104,ELEMENT,ELEMENT,1,G
48,ELEMENT,ELEMENT,1,G
105,ENOUGH,ENOUGH,0,
106,ERROR,ERROR,1,E
58,FEHLER,ERROR,1,E
107,EVENT,EVENT,0,
4,ALLES,EVERYTHING,0,
108,EXACT,EXACT,0,
158,UNTERSUCHTEN,EXAMINED,1,G
109,EXTERNAL,EXTERNAL,0,
110,FAILED,FAILED,1,G
185,VERKEERD,FAILED,1,G
111,FAILURE,FAILURE,1,G
144,SCHNELL,FAST,1,M
112,FAULT,FAULT,1,E
113,FAULTY,FAULTY,1,E
51,FILTER,FILTER,1,O
61,FINDEN,FIND,0,
22,BRAND,FIRE,1,O
114,FIRST,FIRST,0,
115,FITTED,FITTED,1,M
116,FITTING,FITTING,1,M
117,FIXED,FIXED,1,G
62,GEREPAREERD,FIXED,1,G
