,prod_cat,prod_cat_number,mu,sigma,mu_SE,sigma_SE,mu_upper,sigma_upper,mu_lower,sigma_lower
0,PRINTER/SCANNER,995,1.7480186617948976,0.7303475411581358,0.023153573606019908,0.016372048905516533,1.7933988321760939,0.7631515302725598,1.7026384914137014,0.6989536281021781
1,HEADPHONES,509,1.222055661732064,0.9090542741496852,0.040293122291864325,0.028491539984216864,1.301028730248786,0.9666475071146612,1.143082593215342,0.8548924683170864
2,LAPTOP,2264,1.7906508934018779,0.6579284900820414,0.013827398578208822,0.009777447131088763,1.8177520966150476,0.6773737500628002,1.7635496901887082,0.6390414420716818
3,SEWING MACHINE,1568,2.912174409301072,0.9277389372667961,0.023428946204005447,0.016566766455188058,2.958094300056649,0.9607841095701141,2.866254518545495,0.8958303193690715
4,TOY,678,1.7306975426634588,1.318401625089364,0.05063290937577915,0.035802873570811876,1.8299362214724664,1.390475018255775,1.6314588638544512,1.250064058841322
5,SMALL HOME ELECTRICAL,1229,1.8051958235761763,0.9956872401676362,0.028401874246716842,0.020083157878261173,1.860862474193177,1.0358379107959974,1.7495291729591755,0.9570928712879418
6,TOASTER,1052,1.8658349490194597,0.9324939836971231,0.028750021154419894,0.020329334917547008,1.9221839550368873,0.9732022716396875,1.809485943002032,0.893488491520153
7,MOBILE,894,1.2033349150565558,0.7839985084435651,0.02622083254884393,0.01854092850364363,1.2547268024969456,0.8211934225562261,1.151943027616166,0.7484882907712894
8,HAIR & BEAUTY ITEM,759,1.7806626221009954,0.957545488260823,0.03475669928293458,0.02457669750248009,1.8487845009170363,1.006947089438641,1.7125407432849544,0.9105675677555343
9,HI-FI SEPARATES,3020,2.621367355488264,0.9106150272777692,0.01657033701656109,0.011716997670931577,2.6538446192524145,0.9338719474331749,2.5888900917241133,0.8879372918131572
10,HI-FI INTEGRATED,685,2.58908373510159,0.821620864494462,0.031392519564883176,0.022197863462801348,2.6506119428327297,0.8663003877181953,2.52755552737045,0.7792456918445041
11,PC ACCESSORY,287,1.6181095941927732,0.8367321956480012,0.04939073984057881,0.03492452706906815,1.7149136654500952,0.9080608374891184,1.5213055229354513,0.771006454996816
12,POWER TOOL,2600,1.987497034647054,0.9127099246779573,0.017899714293010405,0.012657009223282788,2.0225798299949114,0.9378574107463279,1.9524142392991968,0.8882367373337987
