Equipment;Author;quote;lang
POWER TOOL;Anonymous;Why use a hammer when you can turn it on and watch it work?;UK
TOY;Oscar Wilde;A toy is worth a thousand words, or at least a few hours of distraction.;UK
HAIR DRYER;Mark Twain;A hair dryer: the only thing standing between you and the winds of chaos.;UK
DECORATIVE OR SAFETY LIGHTS;George Carlin;Decorative lights: because everything looks better when it's lit up like a Christmas tree.;UK
LAMP;J.K. Rowling;A lamp is like a wizard's wand, illuminating even the darkest corners of a room.;UK
PORTABLE RADIO;Ernest Hemingway;A portable radio: for when you need to tune in to the rhythm of the world.;UK
HANDHELD ENTERTAINMENT DEVICE;Shakespeare;To game or not to game, that is the question...said no gamer ever.;UK
FOOD PROCESSOR;Dr. Seuss;With a food processor, you can turn green eggs and ham into a gourmet feast.;UK
SMALL HOME ELECTRICAL;Anonymous;Small home electricals: because tiny problems deserve tiny solutions.;UK
HAIR & BEAUTY ITEM;Groucho Marx;A beauty item: the perfect tool for turning heads and raising eyebrows.;UK
MISC;Confucius;In the world of electronics, there are no strangers, only devices waiting to be discovered.;UK
SEWING MACHINE;Agatha Christie;A sewing machine: where threads of creativity meet the fabric of reality.;UK
WATCH/CLOCK;Albert Einstein;Time is relative, but a good watch always keeps you punctual... or fashionably late.;UK
HI-FI SEPARATES;Woody Allen;Separates for your hi-fi: because some things just can't mix, like jazz and heavy metal.;UK
DESKTOP COMPUTER;Stephen King;A desktop computer: where nightmares turn into spreadsheets.;UK
BATTERY/CHARGER/ADAPTER;Winston Churchill;A battery, a charger, an adapter: the trifecta of modern-day survival tools.;UK
SMALL KITCHEN ITEM;Yogi Berra;When the kitchen gets tough, the small kitchen item gets cooking.;UK
VACUUM;Robin Williams;A vacuum: the only thing that sucks with purpose.;UK
TV AND GAMING-RELATED ACCESSORIES;Monty Python;TV accessories: because life's too short for bad reception.;UK
COFFEE MAKER;Emily Dickinson;Hope is the thing with coffee makers, that percolates the soul.;UK
KETTLE;George Orwell;A kettle: the original whistleblower, screaming when the water's hot.;UK
IRON;Mae West;An iron: the unsung hero of fashion, flattening out life's wrinkles.;UK
DIGITAL COMPACT CAMERA;Andy Warhol;In the future, everyone will have their fifteen megapixels of fame.;UK
PRINTER/SCANNER;Arthur Conan Doyle;The printer and scanner: where ink meets intrigue.;UK
LAPTOP;George Bernard Shaw;A laptop: the portable podium for sharing your genius with the world.;UK
HI-FI INTEGRATED;Homer Simpson;Integrated hi-fi: because who has time to separate their highs from their lows?;UK
PAPER SHREDDER;Mark Zuckerberg;A paper shredder: because some secrets are better off in pieces.;UK
TOASTER;Lewis Carroll;Why is a raven like a writing desk? Because both can toast your bread, my dear.;UK
FLAT SCREEN;Walt Disney;A flat screen: where fantasy meets reality, in stunning high definition.;UK
MOBILE;Mark Twain;The mobile phone: making us reachable at all the wrong times.;UK
TABLET;Voltaire;I may disagree with what you say, but I will defend to the death your right to swipe left on your tablet.;UK
DSLR/VIDEO CAMERA;Alfred Hitchcock;A camera: the voyeur's window into other people's lives.;UK
HEADPHONES;Friedrich Nietzsche;When you gaze long into the headphones, the headphones also gaze into you.;UK
LARGE HOME ELECTRICAL;William Shakespeare;To plug or not to plug, that is the question...when the bill comes.;UK
MUSICAL INSTRUMENT;Bob Ross;Every musical instrument is a happy little accident waiting to happen.;UK
PROJECTOR;J.R.R. Tolkien;A projector: turning blank walls into epic adventures since the invention of light.;UK
PC ACCESSORY;George Lucas;In a galaxy of gadgets, may the force of your PC accessory be with you.;UK
AIRCON/DEHUMIDIFIER;Confucius;He who controls the air controls the universe... or at least the humidity.;UK
FAN;Charles Dickens;A fan: the silent companion in a world of sweltering misery.;UK
GAMES CONSOLE;Neil Gaiman;A games console: where reality ends and the real adventure begins.;UK
POWER TOOL;Alphonse Allais;Pourquoi utiliser un marteau quand vous pouvez appuyer sur un bouton et regarder la magie opérer ?;FR
TOY;Molière;Un jouet : la première étape vers l'âge adulte, c'est de s'offrir un bon jouet.;FR
HAIR DRYER;Victor Hugo;Un sèche-cheveux : là où l'art rencontre la science, et où les cheveux se dressent pour l'honneur.;FR
DECORATIVE OR SAFETY LIGHTS;Voltaire;Des luminaires et des guirlandes : pour éclairer le chemin de la raison ou simplement pour une fête.;FR
LAMP;Alexandre Dumas;Une lampe : le seul compagnon capable de chasser les ombres de la nuit.;FR
PORTABLE RADIO;Jean de La Fontaine;Une radio portable : où la parole des hommes rencontre les ondes mystérieuses.;FR
HANDHELD ENTERTAINMENT DEVICE;Jules Verne;Un appareil de divertissement portable : pour des voyages extraordinaires sans quitter votre fauteuil.;FR
FOOD PROCESSOR;Marcel Proust;Un robot de cuisine : l'art de la gastronomie sans l'effort de la cuisine.;FR
SMALL HOME ELECTRICAL;Colette;Un petit électroménager de maison : l'outil indispensable pour transformer le chaos en confort.;FR
HAIR & BEAUTY ITEM;Simone de Beauvoir;Un équipement pour les cheveux et la beauté : où l'esthétique rencontre la technologie, et où la confiance en soi est branchée en permanence.;FR
MISC;Charles Baudelaire;Dans le monde des gadgets électroniques, il n'y a pas d'étrangers, seulement des appareils attendant d'être découverts.;FR
SEWING MACHINE;Émile Zola;Une machine à coudre : où la créativité rencontre le fil du destin.;FR
WATCH/CLOCK;Gustave Flaubert;Une montre ou un réveil : la meilleure façon de dire au temps qui passe de ralentir ou de se réveiller.;FR
HI-FI SEPARATES;Honoré de Balzac;Des composants hi-fi : là où les harmonies célestes rencontrent les basses terrestres.;FR
DESKTOP COMPUTER;Voltaire;Un ordinateur de bureau : pour cultiver votre esprit sans jamais quitter votre bureau.;FR
BATTERY/CHARGER/ADAPTER;Guy de Maupassant;Une batterie, un chargeur, un adaptateur : les outils indispensables à la survie moderne.;FR
SMALL KITCHEN ITEM;George Sand;Un petit électroménager de cuisine : où la magie de la gastronomie rencontre la simplicité du quotidien.;FR
VACUUM;Édith Piaf;Un aspirateur : l'art de garder les pieds sur terre, même lorsque tout semble aspiré dans le chaos.;FR
TV AND GAMING-RELATED ACCESSORIES;Antoine de Saint-Exupéry;Des accessoires TV et jeux vidéo : où les rêves prennent vie à travers les pixels.;FR
COFFEE MAKER;Honoré de Balzac;Une machine à café : là où l'inspiration rencontre la caféine, et où les idées deviennent claires.;FR
KETTLE;Marcel Pagnol;Une bouilloire : le premier pas vers une conversation chaleureuse ou simplement pour un thé bien chaud.;FR
IRON;Albert Camus;Un fer à repasser : l'outil de la résistance contre les plis de la vie quotidienne.;FR
DIGITAL COMPACT CAMERA;Victor Hugo;Un appareil photo numérique : là où la vision de l'artiste rencontre la technologie du futur.;FR
PRINTER/SCANNER;Émile Zola;Une imprimante ou un scanner : l'art de capturer l'imagination et de la partager avec le monde.;FR
LAPTOP;Molière;Un ordinateur portable : où le monde devient votre scène et chaque clic est une réplique mémorable.;FR
HI-FI INTEGRATED;Jean-Paul Sartre;La hi-fi : là où le son rencontre le vide existentiel... et devient une expérience transcendantale.;FR
PAPER SHREDDER;Gustave Flaubert;Une broyeuse à papier : pour détruire les mots qui ne méritent pas d'être lus.;FR
TOASTER;Charles Baudelaire;Un grille-pain : le meilleur ami du petit-déjeuner, celui qui fait croustiller les matins monotones.;FR
FLAT SCREEN;Simone de Beauvoir;Un écran plat : où la réalité rencontre la fiction, dans un éclatant écran HD.;FR
MOBILE;Voltaire;Je peux ne pas être d'accord avec ce que vous dites, mais je défendrai jusqu'à la mort votre droit à ignorer mes appels.;FR
TABLET;Guy de Maupassant;Une tablette : le moyen moderne de transporter toute une bibliothèque... et de ne jamais la lire.;FR
DSLR/VIDEO CAMERA;Marcel Proust;Un caméscope : où les souvenirs deviennent éternels et où chaque instant est digne d'être filmé.;FR
HEADPHONES;Charles de Gaulle;Les écouteurs : l'arme secrète pour échapper aux conversations ennuyeuses.;FR
