Image,Brand,Model,Category,Page,Img Score,Vision Score
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/0-a-19-3-230x350.png,KXD,KXD D58,Smartphones,3,,1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-46-230x350.png,HONOR,STK-LX1,Smartphones,3,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-35-230x350.png,SAMSUNG,SM-A105F,Smartphones,3,,5.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-34-230x350.png,HHuawei P smart Z,STK-LX1,Smartphones,3,,5.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-45-230x350.png,XIAOMI,Mi 9 Lite (128 Go),Smartphones,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-43-230x350.png,XIAOMI,Redmi Note 8T,Smartphones,3,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-33-230x350.png,Huawei Y6 2018,ATU-L21,Smartphones,3,,5.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-31-230x350.png,Huawei P smart Z,STK-LX1,Smartphones,3,,5.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/02/4-a-59-12-230x350.png,SAMSUNG,SM-A505F,Smartphones,3,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/2-a-39-230x350.png,LOGICOM,HOLA_FR_1+8GO_ROUG,Smartphones,3,,3
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-42-230x350.png,Wiko,Y61 (K560),Smartphones,3,,6.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-10-2-230x350.png,Huawei P40 Pro,ELS-NX9,Smartphones,3,,5
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-24-2-230x350.png,Huawei Mate20 lite,SNE-LX1,Smartphones,3,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-41-230x350.png,WIKO SAS,VVIEW4 (V830),Smartphones,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-29-230x350.png,SAMSUNG,SM-A505F,Smartphones,3,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-28-230x350.png,Huawei P30 Pro,VOG-L29,Smartphones,3,,5.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/8-a-11-230x350.png,NEVA LEAF,NEVA LEAF,Smartphones,2,,8.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/iphone-13-pro-230x350.png,APPLE,APPLE,Smartphones,2,,6.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/iphone-13-indice-reparabilite-230x350.png,APPLE,APPLE,Smartphones,2,,6.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-12-4-230x350.png,XIAOMI,Redmi Note 10 5G,Smartphones,2,,7.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-12-230x350.png,Huawei P20 lite,ANE-LX1,Smartphones,2,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-56-230x350.png,XIAOMI,J2 – Mi 10,Smartphones,2,,6.9
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-55-230x350.png,OnePlus,–,Smartphones,2,,6.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-54-230x350.png,APPLE,A2411,Smartphones,2,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-53-230x350.png,HMD GLOBAL OY,Nokia 6.2,Smartphones,2,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-52-230x350.png,OnePlus,OnePlus,Smartphones,2,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-51-230x350.png,ASUS,–,Smartphones,2,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-50-230x350.png,XIAOMI,Mi 9 Lite (128 Go),Smartphones,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-37-230x350.png,Huawei P40,ANA-NX9,Smartphones,2,,5.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/0-a-19-4-230x350.png,KXD,KXD 6A,Smartphones,2,,1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-49-230x350.png,XIAOMI,Mi A3,Smartphones,2,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-47-230x350.png,HMD GLOBAL OY,Nokia 7.2,Smartphones,2,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-34-230x350.png,XIAOMI,Redmi Note 7 (32 Go),Smartphones,4,,6.9
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-27-230x350.png,Samsung,SM-G985F,Smartphones,4,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/8-a-10-3-4-230x350.png,SAMSUNG,SM-A415F,Smartphones,4,,8
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-15-4-230x350.png,XIAOMI,XIAOMI,Smartphones,4,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-40-230x350.png,WIKO SAS,VIEW4 (V830),Smartphones,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/01/8-a-11-2-2-230x350.png,SAMSUNG,SM-A415F,Smartphones,4,,8
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-6-5-230x350.png,XIAOMI,XIAOMI,Smartphones,4,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-39-230x350.png,YANG TECHNOLOGY SAS,OPPO A72 (CPH2067),Smartphones,4,,6.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-23-230x350.png,Huawei P40 lite,JNY-LX1,Smartphones,4,,5.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-12-230x350.png,Huawei P20 lite,ANE-LX1,Smartphones,4,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-38-230x350.png,YANG TECHNOLOGY SAS,OPPO A72 (CPH2067),Smartphones,4,,6.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-22-230x350.png,Huawei P30,MAR-LX1A,Smartphones,4,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-37-230x350.png,Maxcom,–,Smartphones,4,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-36-230x350.png,XIAOMI,XIAOMIREDMINO9PG,Smartphones,4,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-35-230x350.png,OnePlus,ONEPLUS N100,Smartphones,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-34-230x350.png,XIAOMI,POCO F2 (128 Go),Smartphones,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-32-230x350.png,MOTOROLA,Moto G100,Smartphones,5,,7.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/8-a-10-18-230x350.png,SAMSUNG,SM-G780F,Smartphones,5,,8.1
