,CO2e,water_L
Aircon/dehumidifier,[239],"['TBD', 'TBD']"
Battery/charger/adapter,"['TBD', 'TBD']","['TBD', 'TBD']"
Coffee maker,"[22.5,47.6]","['TBD', 'TBD']"
DSLR/video camera,"['TBD', 'TBD']","['TBD', 'TBD']"
Decorative or safety lights,"['TBD', 'TBD']","['TBD', 'TBD']"
Desktop computer,"[169, 296]","['TBD', 'TBD']"
Digital compact camera,"[24.4,30.6]","['TBD', 'TBD']"
Fan,"['TBD', 'TBD']","['TBD', 'TBD']"
Flat screen,"[340,500]","['TBD', 'TBD']"
Food processor,"['TBD', 'TBD']","['TBD', 'TBD']"
Games console,"[30.8, 73.7]","['TBD', 'TBD']"
Hair & beauty item,"['TBD', 'TBD']","['TBD', 'TBD']"
Hair dryer,"['TBD', 'TBD']","['TBD', 'TBD']"
Handheld entertainment device,"['TBD', 'TBD']","['TBD', 'TBD']"
Headphones,"['TBD', 'TBD']","['TBD', 'TBD']"
Hi-Fi integrated,"['TBD', 'TBD']","['TBD', 'TBD']"
Hi-Fi separates,[123],"['TBD', 'TBD']"
Iron,"['TBD', 'TBD']","['TBD', 'TBD']"
Kettle,[9.9],"['TBD', 'TBD']"
Lamp,"['TBD', 'TBD']","['TBD', 'TBD']"
Laptop,"[156, 'TBD']","['TBD', 'TBD']"
Large home electrical,"['TBD', 'TBD']","['TBD', 'TBD']"
Misc,"['TBD', 'TBD']","['TBD', 'TBD']"
Mobile,"[16.5, 39.1]","['TBD', 'TBD']"
Musical instrument,"['TBD', 'TBD']","['TBD', 'TBD']"
PC Accessory,"[222, 248]","['TBD', 'TBD']"
Paper shredder,"['TBD', 'TBD']","['TBD', 'TBD']"
Portable radio,"['TBD', 'TBD']","['TBD', 'TBD']"
Power tool,"[23.5, 31.7]","['TBD', 'TBD']"
Printer/scanner,"[88,197]","['TBD', 'TBD']"
Projector,[145],"['TBD', 'TBD']"
Sewing machine,"['TBD', 'TBD']","['TBD', 'TBD']"
Small home electrical,"['TBD', 'TBD']","['TBD', 'TBD']"
Small kitchen item,"[21.7, 41.3]","['TBD', 'TBD']"
TV and gaming-related accessories,"['TBD', 'TBD']","['TBD', 'TBD']"
Tablet,"[40.9,82.2]","['TBD', 'TBD']"
Toaster,"['TBD', 'TBD']","['TBD', 'TBD']"
Toy,"['TBD', 'TBD']","['TBD', 'TBD']"
Vacuum,"[47.3,52.4]","['TBD', 'TBD']"
Watch/clock,"['TBD', 'TBD']","['TBD', 'TBD']"
